ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month,default_payment_next_month.0,default_payment_next_month.1,default_payment_next_month.predicted(th=0.24621)
28006,150000,M,graduate school,single,27,0,0,0,0,0,0,51032,69242,65366,62283,60942,55878,30000,20142,3759,7022,20000,10000,0,0.97527087,0.024729142,0
7322,360000,F,graduate school,single,28,0,0,0,0,0,0,78398,86955,127146,103273,91933,108163,25126,60259,27208,31262,90114,30463,0,0.9739401,0.026059952,0
18756,300000,M,graduate school,single,29,-2,-1,-1,0,0,0,25370,18078,21245,36737,37071,24930,21250,23005,35012,25000,24000,24000,0,0.97091484,0.029085167,0
29707,420000,F,university,married,43,0,0,0,0,0,0,36590,44670,60376,30099,66049,61043,42063,30253,20016,40015,30004,3000,0,0.96703315,0.03296688,0
28514,320000,M,graduate school,single,31,-1,-1,-1,0,-1,-1,66604,9293,19905,15645,11388,28017,9293,19905,15452,11388,28017,19364,0,0.96641636,0.03358366,0
14720,240000,F,graduate school,single,33,-1,-1,-1,-1,-1,-1,6785,57953,20367,6997,15607,44412,58243,20469,7032,15685,44513,20159,0,0.9663019,0.033698108,0
6877,360000,F,,single,30,0,0,-1,0,0,-1,40250,23022,12272,34345,36777,30,23000,12280,25007,25008,1767,3300,0,0.9662467,0.033753265,0
19760,310000,M,graduate school,married,35,0,0,0,0,0,0,143072,153378,176904,174117,125526,108107,30000,30000,10054,10000,10000,5000,0,0.9634606,0.036539357,0
10662,500000,M,graduate school,married,40,-1,-1,0,0,0,0,4240,80648,110704,99984,71135,56594,80648,35000,10000,10000,2430,10000,0,0.9634414,0.036558613,0
20089,370000,M,university,single,35,-2,-2,-2,-2,-2,-2,20108,13976,12939,11367,17049,27337,13994,12939,11380,17049,27337,14146,0,0.9631243,0.03687575,0
15457,200000,F,graduate school,single,29,-2,-2,-2,-2,-2,-2,33188,10293,55615,37643,47437,38640,11958,73912,37858,47675,38834,49403,0,0.9602652,0.039734803,0
10994,220000,M,graduate school,single,30,0,0,0,0,0,0,91178,99541,74718,64087,72992,74646,10128,10000,5000,10000,3000,10000,0,0.955263,0.044736966,0
28310,360000,M,graduate school,married,36,-1,-1,-1,-1,-1,-1,18641,7174,11044,15887,8607,8843,7174,11044,15895,8607,8843,3000,0,0.95520616,0.044793837,0
28356,430000,M,university,married,42,-1,-1,-1,-1,0,-1,38495,11935,32878,115683,84049,37210,11935,32887,115683,0,37210,29559,0,0.9551999,0.044800103,0
11970,260000,M,graduate school,married,35,0,0,0,0,0,0,51133,60247,63615,71839,75506,78647,10000,5000,10000,5000,5000,10000,0,0.9551109,0.04488911,0
29869,320000,F,graduate school,single,30,0,0,0,0,0,0,95526,97737,101151,104203,108867,40411,5000,5000,5000,5364,5010,5013,0,0.95097566,0.04902434,0
5707,350000,M,graduate school,others,48,-1,-1,-1,-1,-1,-1,181212,6021,154505,19653,26963,55533,6046,157181,19751,27070,55613,11811,0,0.95097536,0.049024623,0
2840,210000,M,graduate school,single,31,0,0,0,0,0,0,121697,120133,118496,116033,114617,108328,5000,5000,4036,5000,4000,4000,0,0.94229364,0.057706326,0
20568,290000,F,university,married,30,-1,-1,-1,0,0,0,8452,7718,237648,236463,146420,148600,7728,237648,8900,5300,5541,4700,0,0.9422799,0.057720136,0
23703,340000,M,university,married,57,-1,-1,-1,-1,-1,-1,16729,8942,10301,20793,14817,4614,8942,10321,20793,14817,4614,7005,0,0.94225925,0.05774076,0
21817,120000,M,graduate school,single,26,0,0,0,0,0,0,115520,98551,84797,66398,44428,31738,5001,5076,5000,3042,2110,600,0,0.9422258,0.057774175,0
15922,130000,M,university,married,28,0,0,0,0,0,0,115303,113502,111651,102622,96723,98827,4157,4168,5025,3223,4105,4000,0,0.9037769,0.0962231,0
14914,310000,M,university,single,29,0,-1,-1,0,0,-1,1469,1340,9794,15792,8944,88643,1340,9794,7004,1000,89137,4150,1,0.9037112,0.0962888,0
20139,500000,M,high school,single,36,-2,-2,-2,-2,-2,-2,51132,8830,7570,1576,0,13295,8830,7570,1576,0,13295,38090,0,0.9036782,0.09632182,0
12665,50000,M,,married,45,0,0,0,0,0,0,48984,49878,47024,29194,27146,28506,2000,1500,2000,2000,2000,1500,0,0.9018267,0.09817331,0
15699,260000,F,university,single,34,0,0,0,0,0,0,32324,24103,20158,12619,176498,172274,1503,2260,3030,170039,6227,6052,0,0.901803,0.09819699,0
17985,100000,F,high school,single,32,0,0,0,0,-1,-1,54483,45433,40870,10726,1121,61067,2460,2220,1400,1121,61067,2210,0,0.90178627,0.098213755,0
26498,90000,M,high school,married,52,0,0,0,0,0,0,42567,43578,44881,43906,43767,43619,2022,2325,1510,1199,2380,1204,0,0.86802924,0.13197075,0
28234,50000,M,university,married,41,0,0,0,0,0,0,74903,49413,50812,50261,29720,30233,2120,2500,1905,1500,1200,1200,0,0.8679387,0.13206132,0
8219,30000,M,university,single,46,0,0,0,0,0,0,32006,60079,26882,27570,28075,29065,1755,1500,1135,1100,1455,775,0,0.8392785,0.16072147,0
2264,80000,M,university,single,25,0,0,0,0,0,0,7536,5024,5589,6094,45342,45877,1200,1100,1000,40000,1700,1700,0,0.8391223,0.16087772,0
16851,230000,F,university,others,37,-1,0,0,0,0,-1,11770,16479,20474,26492,326,1056,10000,5000,16492,0,1056,326,0,0.83892286,0.16107717,0
2688,500000,M,graduate school,married,44,-2,-1,0,0,0,-1,71921,367979,294969,189612,128459,167105,368199,6486,234,90,167116,372495,0,0.83877146,0.16122854,0
17628,20000,M,university,married,30,0,0,-2,-2,-1,0,3366,0,0,0,2105,2105,0,0,0,2105,0,0,0,0.83867013,0.16132986,0
27969,120000,M,graduate school,single,28,-1,-1,-1,-1,-1,-1,2494,1394,780,470,-170,180,2000,780,470,0,500,1335,0,0.8022199,0.19778006,0
11340,210000,M,university,married,42,-1,-1,-1,-2,-2,-2,4221,336,0,0,0,0,336,0,0,0,0,0,0,0.8021808,0.19781919,0
2915,320000,M,university,single,50,-1,0,-1,-1,-1,-1,5714,7870,342,-6,1252,0,3000,342,2,1500,0,10701,0,0.80205584,0.1979442,0
